E8 TCR:TPI:HLADR,Force (pN),Bond life-time (s),Ln(P_survive),,CD4:TPI:HLADR,Force (pN),Bond life-time (s),Ln(P_survive),,CD4+E8TCR:TPI:HLADR,Force (pN),Bond life-time (s),Ln(P_survive)
,0,0.0036,0,,,0,0.0269,0,,,0,0.018,0
,0,0.011,-0.014184635,,,0,0.0276,-0.010929071,,,0,0.0213,-0.010362787
,0,0.013,-0.028573372,,,0,0.0281,-0.021978907,,,0,0.0222,-0.020834087
,0,0.0162,-0.043172172,,,0,0.0323,-0.033152207,,,0,0.0261,-0.031416196
,0,0.0192,-0.057987258,,,0,0.0323,-0.044451763,,,0,0.0266,-0.042111485
,0,0.0207,-0.073025135,,,0,0.0349,-0.055880458,,,0,0.0276,-0.052922401
,0,0.0227,-0.088292607,,,0,0.0403,-0.067441281,,,0,0.029,-0.063851472
,0,0.0251,-0.103796794,,,0,0.043,-0.079137321,,,0,0.0315,-0.074901308
,0,0.0255,-0.119545151,,,0,0.0442,-0.090971778,,,0,0.0315,-0.086074609
,0,0.0274,-0.135545492,,,0,0.0456,-0.102947969,,,0,0.0323,-0.097374164
,0,0.0282,-0.151806013,,,0,0.0457,-0.11506933,,,0,0.0369,-0.10880286
,0,0.0286,-0.168335315,,,0,0.0482,-0.127339422,,,0,0.0396,-0.120363682
,0,0.0322,-0.185142433,,,0,0.0484,-0.139761942,,,0,0.04,-0.132059722
,0,0.0324,-0.202236866,,,0,0.0484,-0.152340725,,,0,0.04,-0.14389418
,0,0.0357,-0.219628609,,,0,0.0498,-0.16507975,,,0,0.0405,-0.155870371
,0,0.0369,-0.237328186,,,0,0.0511,-0.177983155,,,0,0.0426,-0.167991731
,0,0.0369,-0.255346692,,,0,0.0563,-0.191055237,,,0,0.0461,-0.180261824
,0,0.0369,-0.27369583,,,0,0.0565,-0.204300464,,,0,0.0461,-0.192684344
,0,0.0376,-0.292387963,,,0,0.0605,-0.217723484,,,0,0.0482,-0.205263126
,0,0.038,-0.311436158,,,0,0.0645,-0.231329136,,,0,0.0483,-0.218002152
,0,0.038,-0.330854244,,,0,0.0665,-0.245122458,,,0,0.0484,-0.230905557
,0,0.0384,-0.350656872,,,0,0.0665,-0.2591087,,,0,0.0484,-0.243977638
,0,0.0385,-0.370859579,,,0,0.0665,-0.273293335,,,0,0.051,-0.257222865
,0,0.0388,-0.391478866,,,0,0.0722,-0.287682072,,,0,0.0538,-0.270645885
,0,0.0417,-0.412532275,,,0,0.0739,-0.302280872,,,0,0.056,-0.284251537
,0,0.0444,-0.434038481,,,0,0.0739,-0.317095958,,,0,0.0593,-0.298044859
,0,0.0453,-0.456017387,,,0,0.0786,-0.332133835,,,0,0.0596,-0.312031101
,0,0.0454,-0.478490243,,,0,0.0806,-0.347401307,,,0,0.0596,-0.326215736
,0,0.047,-0.501479761,,,0,0.0817,-0.362905494,,,0,0.0634,-0.340604474
,0,0.047,-0.525010259,,,0,0.0833,-0.378653851,,,0,0.0684,-0.355203273
,0,0.052,-0.54910781,,,0,0.0847,-0.394654192,,,0,0.0692,-0.370018359
,0,0.0532,-0.573800423,,,0,0.0847,-0.410914713,,,0,0.0699,-0.385056236
,0,0.0553,-0.599118231,,,0,0.0876,-0.427444015,,,0,0.0713,-0.400323709
,0,0.0553,-0.625093717,,,0,0.0887,-0.444251133,,,0,0.0753,-0.415827895
,0,0.0553,-0.651761964,,,0,0.0998,-0.461345567,,,0,0.0754,-0.431576252
,0,0.057,-0.679160939,,,0,0.0998,-0.478737309,,,0,0.0773,-0.447576593
,0,0.0573,-0.707331816,,,0,0.0998,-0.496436886,,,0,0.0785,-0.463837114
,0,0.0588,-0.736319352,,,0,0.1035,-0.514455392,,,0,0.0798,-0.480366416
,0,0.0625,-0.766172316,,,0,0.1126,-0.53280453,,,0,0.0804,-0.497173535
,0,0.0632,-0.796943974,,,0,0.1149,-0.551496663,,,0,0.0834,-0.514267968
,0,0.068,-0.828692673,,,0,0.121,-0.570544858,,,0,0.0837,-0.531659711
,0,0.068,-0.861482495,,,0,0.121,-0.589962944,,,0,0.0847,-0.549359288
,0,0.0682,-0.895384047,,,0,0.1398,-0.609765572,,,0,0.0889,-0.567377793
,0,0.0719,-0.930475367,,,0,0.1405,-0.629968279,,,0,0.0905,-0.585726932
,0,0.0753,-0.966843011,,,0,0.1411,-0.650587566,,,0,0.0927,-0.604419065
,0,0.0765,-1.004583339,,,0,0.1475,-0.671640975,,,0,0.0934,-0.62346726
,0,0.0776,-1.043804052,,,0,0.1521,-0.693147181,,,0,0.0953,-0.642885346
,0,0.0843,-1.084626047,,,0,0.1521,-0.715126087,,,0,0.0955,-0.662687973
,0,0.0979,-1.127185661,,,0,0.1613,-0.737598943,,,0,0.0955,-0.68289068
,0,0.1034,-1.171637424,,,0,0.1659,-0.760588461,,,0,0.0978,-0.703509968
,0,0.1087,-1.218157439,,,0,0.172,-0.784118959,,,0,0.0985,-0.724563377
,0,0.1106,-1.266947603,,,0,0.1866,-0.80821651,,,0,0.1023,-0.746069582
,0,0.1107,-1.318240898,,,0,0.1882,-0.832909123,,,0,0.1034,-0.768048489
,0,0.1122,-1.372308119,,,0,0.1932,-0.858226931,,,0,0.1038,-0.790521345
,0,0.1129,-1.429466533,,,0,0.1935,-0.884202417,,,0,0.1059,-0.813510863
,0,0.1164,-1.490091155,,,0,0.1999,-0.910870664,,,0,0.1082,-0.83704136
,0,0.1176,-1.554629676,,,0,0.2043,-0.938269639,,,0,0.1115,-0.861138912
,0,0.1251,-1.623622547,,,0,0.2151,-0.966440516,,,0,0.1118,-0.885831524
,0,0.1273,-1.69773052,,,0,0.2157,-0.995428052,,,0,0.1124,-0.911149332
,0,0.1342,-1.777773227,,,0,0.2177,-1.025281016,,,0,0.1171,-0.937124819
,0,0.1343,-1.864784604,,,0,0.2199,-1.056052674,,,0,0.1213,-0.963793066
,0,0.1514,-1.960094784,,,0,0.2484,-1.087801373,,,0,0.1224,-0.99119204
,0,0.1599,-2.0654553,,,0,0.2554,-1.120591195,,,0,0.1245,-1.019362917
,0,0.1677,-2.183238335,,,0,0.2627,-1.154492747,,,0,0.1276,-1.048350454
,0,0.2015,-2.316769728,,,0,0.2722,-1.189584067,,,0,0.1278,-1.078203417
,0,0.2216,-2.470920408,,,0,0.2957,-1.225951711,,,0,0.1291,-1.108975076
,0,0.2258,-2.653241965,,,0,0.2964,-1.263692039,,,0,0.1337,-1.140723774
,0,0.2742,-2.876385516,,,0,0.3118,-1.302912752,,,0,0.1394,-1.173513597
,0,0.3133,-3.164067588,,,0,0.3172,-1.343734747,,,0,0.1544,-1.207415149
,0,0.3484,-3.569532696,,,0,0.3183,-1.386294361,,,0,0.1557,-1.242506468
,0,0.471,-4.262679877,,,0,0.328,-1.430746124,,,0,0.1594,-1.278874112
,,,,,,0,0.3441,-1.477266139,,,0,0.1604,-1.31661444
,,,,,,0,0.3441,-1.526056303,,,0,0.1747,-1.355835154
,,,,,,0,0.3594,-1.577349598,,,0,0.1804,-1.396657148
,,,,,,0,0.3664,-1.631416819,,,0,0.1863,-1.439216763
,,,,,,0,0.3871,-1.688575233,,,0,0.1909,-1.483668525
,,,,,,0,0.3889,-1.749199855,,,0,0.1953,-1.530188541
,,,,,,0,0.4181,-1.813738376,,,0,0.1953,-1.578978705
,,,,,,0,0.4478,-1.882731247,,,0,0.1991,-1.630271999
,,,,,,0,0.4839,-1.95683922,,,0,0.2052,-1.684339221
,,,,,,0,0.4839,-2.036881927,,,0,0.2062,-1.741497634
,,,,,,0,0.5599,-2.123893304,,,0,0.2073,-1.802122256
,,,,,,0,0.5737,-2.219203484,,,0,0.223,-1.866660777
,,,,,,0,0.5739,-2.324564,,,0,0.2258,-1.935653649
,,,,,,0,0.5968,-2.442347035,,,0,0.2333,-2.009761621
,,,,,,0,0.6658,-2.575878428,,,0,0.2384,-2.089804329
,,,,,,0,0.7591,-2.730029108,,,0,0.2456,-2.176815706
,,,,,,0,0.7742,-2.912350665,,,0,0.2734,-2.272125886
,,,,,,0,0.8468,-3.135494216,,,0,0.2863,-2.377486401
,,,,,,0,0.9124,-3.423176288,,,0,0.2917,-2.495269437
,,,,,,0,1.0043,-3.828641396,,,0,0.3337,-2.628800829
,,,,,,0,1.1498,-4.521788577,,,0,0.3694,-2.782951509
,,,,,,,,,,,0,0.4412,-2.965273066
,,,,,,,,,,,0,0.4828,-3.188416617
,,,,,,,,,,,0,0.5323,-3.47609869
,,,,,,,,,,,0,0.623,-3.881563798
,,,,,,,,,,,0,0.761,-4.574710979
