t,fit,std
5,3.837960963326565e-5,1.813080200393545e-5
6,3.5272741020569135e-5,1.640163174711079e-5
7,3.254442428167418e-5,1.493166987632522e-5
8,3.0148535315750447e-5,1.3677145540208682e-5
9,2.804456994574723e-5,1.2601762864767538e-5
10,2.61969591669789e-5,1.1675628983920931e-5
11,2.4574467828247555e-5,1.087427015408499e-5
12,2.314966657978704e-5,1.0177739142481043e-5
13,2.18984681609394e-5,9.569819449581695e-6
14,2.079972018818296e-5,9.037330255880086e-6
15,1.9834847559309066e-5,8.569532222194676e-6
16,1.898753842834024e-5,8.15763012136915e-6
17,1.8243468442376335e-5,7.794364827095636e-6
18,1.7590058578399912e-5,7.473684899722493e-6
19,1.701626248610276e-5,7.190486908973909e-6
20,1.6512379741615506e-5,6.940413503422081e-6
21,1.6069891855064123e-5,6.719698788790984e-6
22,1.5681318259546485e-5,6.525051547419239e-6
23,1.5340089846921968e-5,6.353568015347123e-6
24,1.5040437912448306e-5,6.202667189536761e-6
25,1.4777296630797137e-5,6.070042872768475e-6
26,1.4546217414737195e-5,5.9536278186563175e-6
27,1.4343293708658787e-5,5.851566377072759e-6
28,1.416509494552158e-5,5.762192939533549e-6
29,1.4008608550721756e-5,5.684014235246411e-6
30,1.3871189012413334e-5,5.615694132235904e-6
31,1.3750513157281927e-5,5.556040063398631e-6
32,1.364454087567658e-5,5.503990540084094e-6
33,1.3551480632130649e-5,5.458603455283168e-6
34,1.3469759178202914e-5,5.419045035546046e-6
35,1.3397994955613414e-5,5.384579395387814e-6
36,1.3334974740035399e-5,5.354558697956796e-6
37,1.3279633130690339e-5,5.328413945857359e-6
38,1.3231034539003369e-5,5.305646427671364e-6
39,1.3188357371824677e-5,5.285819837269698e-6
40,1.3150880141823248e-5,5.268553070178395e-6
41,1.311796927023941e-5,5.253513687708732e-6
42,1.308906837579319e-5,5.240412027375105e-6
43,1.3063688868670032e-5,5.228995928325525e-6
44,1.3041401690568567e-5,5.219046033409998e-6
45,1.3021830061170248e-5,5.2103716250030874e-6
46,1.3004643108404798e-5,5.202806949446468e-6
47,1.2989550274826658e-5,5.196207984562711e-6
48,1.2976296405538359e-5,5.190449605680573e-6
49,1.2964657434618694e-5,5.1854231076085445e-6
50,1.295443659713176e-5,5.181034042658912e-6
51,1.2945461102678222e-5,5.177200337884446e-6
52,1.2937579214252888e-5,5.173850657931372e-6
53,1.293065768302461e-5,5.170922983177189e-6
54,1.292457949567168e-5,5.168363375998357e-6
55,1.2919241896189886e-5,5.166124911025595e-6
56,1.291455464873044e-5,5.164166748047655e-6
57,1.2910438512099913e-5,5.1624533287934744e-6
58,1.2906823900132497e-5,5.160953681148986e-6
59,1.2903649705287242e-5,5.159640816451356e-6
60,1.2900862265582376e-5,5.158491207359784e-6
61,1.2898414457402023e-5,5.157484335443054e-6
62,1.2896264898838533e-5,5.1566022990669265e-6
63,1.2894377250102424e-5,5.155829473427514e-6
64,1.2892719599172858e-5,5.15515221567836e-6
65,1.2891263922302618e-5,5.154558609056817e-6
66,1.2889985610257085e-5,5.154038240746232e-6
67,1.2888863052277932e-5,5.15358200892968e-6
68,1.288787727073816e-5,5.153181955112803e-6
69,1.2887011600312035e-5,5.152831118329949e-6
70,1.288625140623614e-5,5.152523408310872e-6
71,1.2885583836898448e-5,5.1522534950841995e-6
72,1.2884997606572855e-5,5.152016712837823e-6
73,1.2884482804626088e-5,5.151808976152477e-6
74,1.2884030727971529e-5,5.151626706980036e-6
75,1.2883633733937455e-5,5.151466770957799e-6
76,1.2883285111062325e-5,5.151326421839572e-6
77,1.2882978965632844e-5,5.151203252987611e-6
78,1.2882710122046611e-5,5.151095155010399e-6
79,1.2882474035314951e-5,5.151000278752751e-6
80,1.2882266714226708e-5,5.15091700294974e-6
81,1.2882084653874022e-5,5.1508439059465485e-6
82,1.2881924776399417e-5,5.150779740964843e-6
83,1.2881784378962475e-5,5.1507234144640446e-6
84,1.2881661088046426e-5,5.150673967204582e-6
85,1.2881552819332184e-5,5.150630557671185e-6
86,1.2881457742461488e-5,5.150592447558293e-6
87,1.2881374250093402e-5,5.150558989058028e-6
88,1.2881300930731105e-5,5.150529613724375e-6
89,1.2881236544859554e-5,5.150503822716098e-6
90,1.288118000399059e-5,5.150481178246068e-6
91,1.2881130352261324e-5,5.150461296086507e-6
92,1.288108675027458e-5,5.150443838998667e-6
93,1.2881048460908305e-5,5.150428510972078e-6
94,1.2881014836854006e-5,5.150415052172891e-6
95,1.2880985309673551e-5,5.150403234513491e-6
96,1.2880959380189324e-5,5.150392857766498e-6
97,1.2880936610045276e-5,5.150383746155926e-6
98,1.2880916614296216e-5,5.150375745366598e-6
99,1.2880899054900027e-5,5.15036871992026e-6
100,1.2880883635002851e-5,5.150362550873274e-6
101,1.2880870093920553e-5,5.150357133796281e-6
102,1.2880858202731675e-5,5.150352377001219e-6
103,1.2880847760407356e-5,5.150348199985288e-6
104,1.2880838590412814e-5,5.150344532065259e-6
105,1.2880830537722877e-5,5.150341311178762e-6
106,1.28808234662012e-5,5.15033848283211e-6
107,1.2880817256298762e-5,5.1503359991766795e-6
108,1.288081180303283e-5,5.15033381819814e-6
109,1.2880807014212133e-5,5.150331903004683e-6
110,1.2880802808878302e-5,5.150330221202181e-6
111,1.2880799115937243e-5,5.150328744345621e-6
112,1.2880795872957195e-5,5.150327447457476e-6
113,1.2880793025113324e-5,5.150326308604887e-6
114,1.2880790524260832e-5,5.150325308528393e-6
115,1.2880788328121064e-5,5.150324430315992e-6
116,1.2880786399566745e-5,5.150323659116946e-6
117,1.2880784705994311e-5,5.150322981890482e-6
118,1.288078321877274e-5,5.150322387185169e-6
119,1.288078191275951e-5,5.150321864945166e-6
120,1.2880780765875562e-5,5.150321406340127e-6
